Song Name,Artist,Genre,Popularity
Ishq Zindagi,Arijit Singh,Punjabi,81
Din Mohabbat,Jubin Nautiyal,Fusion,83
Mere Din,Jubin Nautiyal,Fusion,84
Pyar Din,Sonu Nigam,Bollywood,86
Tere Tere,Atif Aslam,Hip-Hop,84
Mohabbat Dil,KK,Fusion,91
Mere Tere,KK,Indie,91
Jaan Mohabbat,Atif Aslam,Indie,89
Mohabbat Dil,Jubin Nautiyal,Fusion,83
Din Mere,Badshah,Punjabi,100
Mohabbat Mohabbat,Badshah,Indie,90
Mohabbat Tere,Badshah,Bollywood,84
Jaan Jaan,Badshah,Bollywood,95
Ishq Mohabbat,KK,Hip-Hop,85
Jaan Din,Shreya Ghoshal,Bollywood,92
Pyar Tere,Neha Kakkar,Indie,83
Pyar Mohabbat,Atif Aslam,Indie,98
Mohabbat Tere,Shreya Ghoshal,Punjabi,98
Ishq Mohabbat,Arijit Singh,Bollywood,84
Mere Raat,Arijit Singh,Punjabi,96
Din Zindagi,Jubin Nautiyal,Retro,91
Jaan Raat,Sonu Nigam,Retro,93
Tere Mere,Sonu Nigam,Retro,94
Mohabbat Din,Atif Aslam,Hip-Hop,90
Tere Din,Jubin Nautiyal,Folk,84
Dil Jaan,Arijit Singh,Folk,100
Jaan Din,Shreya Ghoshal,Fusion,95
Mere Raat,KK,Folk,91
Pyar Raat,Jubin Nautiyal,Retro,100
Zindagi Tere,Sonu Nigam,Punjabi,87
Raat Zindagi,Arijit Singh,Pop,85
Raat Tere,Badshah,Hip-Hop,95
Mere Zindagi,KK,Bollywood,98
Dil Ishq,Sonu Nigam,Folk,83
Ishq Din,Arijit Singh,Punjabi,99
Raat Tere,Neha Kakkar,Bollywood,89
Mohabbat Pyar,Jubin Nautiyal,Retro,85
Zindagi Mohabbat,Jubin Nautiyal,Folk,92
Zindagi Raat,KK,Folk,97
Mohabbat Mohabbat,Neha Kakkar,Folk,93
Tere Zindagi,Jubin Nautiyal,Retro,82
Zindagi Din,Shreya Ghoshal,Fusion,85
Pyar Ishq,Neha Kakkar,Pop,94
Pyar Pyar,Shreya Ghoshal,Indie,86
Mohabbat Raat,Jubin Nautiyal,Hip-Hop,98
Tere Dil,Arijit Singh,Punjabi,98
Zindagi Pyar,Jubin Nautiyal,Bollywood,99
Mohabbat Pyar,Arijit Singh,Retro,88
Pyar Zindagi,KK,Indie,91
Mere Raat,KK,Fusion,99
Mohabbat Jaan,Sonu Nigam,Folk,93
Ishq Tere,Shreya Ghoshal,Indie,98
Mere Jaan,Shreya Ghoshal,Bollywood,100
Dil Mohabbat,Arijit Singh,Retro,96
Dil Dil,Badshah,Retro,88
Din Jaan,Arijit Singh,Hip-Hop,95
Ishq Dil,Shreya Ghoshal,Folk,98
Din Pyar,Badshah,Indie,95
Tere Raat,KK,Pop,90
Din Mere,Sonu Nigam,Fusion,87
Din Tere,Arijit Singh,Hip-Hop,92
Mohabbat Raat,Atif Aslam,Hip-Hop,95
Din Ishq,Arijit Singh,Punjabi,91
Mohabbat Jaan,Atif Aslam,Indie,90
Mohabbat Dil,Sonu Nigam,Punjabi,92
Tere Zindagi,Shreya Ghoshal,Punjabi,90
Raat Mohabbat,Arijit Singh,Indie,86
Tere Raat,KK,Retro,98
Raat Pyar,Shreya Ghoshal,Hip-Hop,86
Mere Din,Arijit Singh,Punjabi,99
Mere Tere,Arijit Singh,Punjabi,90
Mohabbat Raat,Atif Aslam,Hip-Hop,86
Zindagi Dil,Atif Aslam,Retro,83
Dil Mere,Shreya Ghoshal,Pop,99
Dil Tere,Atif Aslam,Indie,98
Mere Jaan,KK,Folk,83
Ishq Mere,Shreya Ghoshal,Punjabi,81
Pyar Zindagi,Shreya Ghoshal,Fusion,97
Ishq Mohabbat,Sonu Nigam,Folk,85
Mere Ishq,Neha Kakkar,Folk,92
Din Zindagi,Badshah,Bollywood,96
Mere Mohabbat,Sonu Nigam,Hip-Hop,98
Dil Jaan,Sonu Nigam,Punjabi,86
Din Dil,Atif Aslam,Folk,88
Mere Ishq,Arijit Singh,Indie,84
Pyar Zindagi,Jubin Nautiyal,Pop,84
Zindagi Pyar,Neha Kakkar,Pop,94
Raat Mere,KK,Folk,96
Din Mohabbat,Arijit Singh,Folk,92
Mere Pyar,Neha Kakkar,Retro,87
Raat Din,Shreya Ghoshal,Bollywood,95
Pyar Tere,Neha Kakkar,Indie,94
Tere Tere,KK,Bollywood,83
Pyar Mohabbat,Jubin Nautiyal,Punjabi,98
Tere Din,Neha Kakkar,Bollywood,81
Din Mere,Atif Aslam,Bollywood,87
Dil Mere,Neha Kakkar,Bollywood,82
Pyar Din,Neha Kakkar,Fusion,96
Zindagi Mohabbat,Neha Kakkar,Folk,99
Din Din,Neha Kakkar,Folk,97
Zindagi Din,Jubin Nautiyal,Hip-Hop,88
Jaan Tere,Jubin Nautiyal,Fusion,100
Mohabbat Ishq,Shreya Ghoshal,Indie,80
Dil Jaan,Jubin Nautiyal,Folk,94
Mere Ishq,Atif Aslam,Fusion,86
Mere Mohabbat,Badshah,Hip-Hop,94
Din Jaan,Neha Kakkar,Bollywood,81
Tere Din,Neha Kakkar,Folk,86
Mere Tere,Atif Aslam,Indie,99
Pyar Raat,Sonu Nigam,Folk,94
Tere Tere,Badshah,Pop,96
Mohabbat Dil,KK,Punjabi,85
Tere Jaan,Arijit Singh,Bollywood,99
Din Ishq,Badshah,Folk,81
Jaan Din,Neha Kakkar,Pop,89
Ishq Mohabbat,KK,Folk,91
Ishq Dil,Arijit Singh,Fusion,99
Pyar Zindagi,KK,Hip-Hop,88
Zindagi Raat,Shreya Ghoshal,Pop,85
Raat Ishq,Neha Kakkar,Bollywood,93
Raat Dil,Badshah,Indie,82
Jaan Jaan,Shreya Ghoshal,Fusion,90
Dil Pyar,Sonu Nigam,Pop,90
Mohabbat Din,KK,Bollywood,85
Dil Mere,KK,Punjabi,94
Zindagi Ishq,Badshah,Retro,81
Dil Tere,Jubin Nautiyal,Retro,93
Zindagi Dil,Jubin Nautiyal,Bollywood,100
Dil Tere,KK,Hip-Hop,88
Dil Mere,Neha Kakkar,Bollywood,86
Zindagi Ishq,Arijit Singh,Bollywood,84
Raat Mohabbat,KK,Fusion,80
Din Pyar,Sonu Nigam,Fusion,91
Dil Din,Sonu Nigam,Folk,95
Mohabbat Tere,Neha Kakkar,Bollywood,91
Mohabbat Dil,Arijit Singh,Indie,91
Jaan Din,Arijit Singh,Indie,93
Dil Ishq,Jubin Nautiyal,Hip-Hop,97
Pyar Ishq,Arijit Singh,Folk,87
Mere Din,Neha Kakkar,Retro,82
Raat Pyar,KK,Fusion,83
Jaan Dil,Atif Aslam,Folk,88
Zindagi Mere,Neha Kakkar,Bollywood,96
Zindagi Tere,KK,Hip-Hop,98
Pyar Raat,Arijit Singh,Indie,87
Ishq Mohabbat,Badshah,Punjabi,86
Ishq Zindagi,KK,Retro,81
Mohabbat Zindagi,Atif Aslam,Hip-Hop,84
Din Dil,Arijit Singh,Pop,92
Jaan Dil,Atif Aslam,Bollywood,91
Jaan Din,Shreya Ghoshal,Bollywood,87
Pyar Jaan,Arijit Singh,Pop,92
Dil Mere,Arijit Singh,Bollywood,97
Pyar Din,KK,Punjabi,84
Pyar Dil,Atif Aslam,Folk,92
Tere Mohabbat,Badshah,Bollywood,84
Tere Dil,Neha Kakkar,Indie,99
Mohabbat Dil,Jubin Nautiyal,Pop,91
Raat Pyar,Jubin Nautiyal,Fusion,87
Raat Zindagi,Neha Kakkar,Hip-Hop,93
Jaan Zindagi,Neha Kakkar,Retro,98
Tere Ishq,Atif Aslam,Retro,90
Jaan Tere,Badshah,Hip-Hop,94
Mohabbat Raat,Atif Aslam,Hip-Hop,90
Din Zindagi,KK,Hip-Hop,95
Ishq Din,Arijit Singh,Indie,96
Zindagi Dil,Badshah,Fusion,80
Pyar Raat,Jubin Nautiyal,Retro,97
Mohabbat Ishq,Arijit Singh,Folk,99
Raat Pyar,Arijit Singh,Folk,94
Mere Mere,Neha Kakkar,Retro,95
Din Mohabbat,Atif Aslam,Punjabi,90
Tere Din,Arijit Singh,Retro,90
Pyar Mohabbat,KK,Pop,85
Tere Zindagi,KK,Folk,82
Jaan Din,Jubin Nautiyal,Fusion,84
Din Ishq,Arijit Singh,Hip-Hop,99
Ishq Ishq,Shreya Ghoshal,Pop,91
Ishq Pyar,Neha Kakkar,Retro,80
Tere Jaan,Badshah,Folk,92
Mohabbat Zindagi,Arijit Singh,Retro,90
Mohabbat Raat,Neha Kakkar,Punjabi,91
Dil Dil,Shreya Ghoshal,Punjabi,86
Din Ishq,Arijit Singh,Retro,87
Tere Pyar,Shreya Ghoshal,Retro,80
Tere Raat,KK,Folk,98
Dil Mere,Jubin Nautiyal,Bollywood,81
Zindagi Pyar,Neha Kakkar,Bollywood,87
Mohabbat Mere,Arijit Singh,Hip-Hop,85
Ishq Mere,KK,Indie,94
Dil Din,Arijit Singh,Folk,83
Mere Dil,Shreya Ghoshal,Bollywood,84
Mere Ishq,Sonu Nigam,Folk,80
Din Jaan,Sonu Nigam,Indie,96
Ishq Ishq,Badshah,Retro,82
Mere Pyar,Jubin Nautiyal,Hip-Hop,100
Zindagi Tere,Neha Kakkar,Retro,80
Pyar Raat,KK,Hip-Hop,80
Dil Zindagi,Arijit Singh,Folk,94
Ishq Pyar,Badshah,Indie,100
Tere Mohabbat,Jubin Nautiyal,Indie,83
Mohabbat Pyar,Badshah,Folk,87
Zindagi Zindagi,Badshah,Hip-Hop,92
Pyar Jaan,Neha Kakkar,Hip-Hop,82
Mohabbat Jaan,Badshah,Indie,83
Din Raat,Arijit Singh,Folk,80
Ishq Dil,Atif Aslam,Indie,84
Din Pyar,Atif Aslam,Punjabi,89
Mere Tere,Jubin Nautiyal,Fusion,82
Mohabbat Tere,Badshah,Indie,88
Ishq Jaan,Arijit Singh,Indie,91
Din Ishq,Sonu Nigam,Folk,90
Zindagi Dil,Arijit Singh,Indie,100
Jaan Raat,Arijit Singh,Bollywood,96
Din Mohabbat,Badshah,Hip-Hop,91
Raat Din,Neha Kakkar,Retro,81
Zindagi Din,Badshah,Indie,81
Dil Tere,Jubin Nautiyal,Pop,93
Raat Ishq,KK,Pop,87
Pyar Raat,Atif Aslam,Fusion,86
Jaan Din,KK,Retro,86
Zindagi Mere,KK,Folk,96
Pyar Zindagi,Neha Kakkar,Folk,92
Mere Mohabbat,Arijit Singh,Hip-Hop,82
Zindagi Tere,Sonu Nigam,Retro,95
Tere Dil,Neha Kakkar,Punjabi,93
Mohabbat Jaan,Arijit Singh,Fusion,82
Mohabbat Tere,Sonu Nigam,Hip-Hop,85
Pyar Ishq,Arijit Singh,Folk,98
Raat Mohabbat,Neha Kakkar,Punjabi,93
Raat Raat,Neha Kakkar,Punjabi,90
Jaan Pyar,Jubin Nautiyal,Fusion,82
Jaan Pyar,KK,Pop,98
Mohabbat Mere,Sonu Nigam,Indie,90
Jaan Mohabbat,Atif Aslam,Punjabi,91
Jaan Ishq,Atif Aslam,Fusion,84
Jaan Tere,Arijit Singh,Fusion,82
Tere Pyar,Atif Aslam,Fusion,80
Tere Dil,Atif Aslam,Hip-Hop,93
Zindagi Pyar,Shreya Ghoshal,Fusion,96
Ishq Pyar,Jubin Nautiyal,Pop,85
Zindagi Dil,Jubin Nautiyal,Hip-Hop,81
Zindagi Dil,Sonu Nigam,Folk,100
Jaan Dil,KK,Hip-Hop,89
Ishq Tere,Jubin Nautiyal,Folk,80
Mere Tere,Jubin Nautiyal,Indie,89
Dil Pyar,Badshah,Indie,87
Ishq Dil,Badshah,Punjabi,92
Tere Mohabbat,Atif Aslam,Pop,86
Mere Mere,KK,Folk,92
Tere Mere,Shreya Ghoshal,Punjabi,92
Mohabbat Zindagi,Badshah,Pop,97
Dil Mere,Badshah,Retro,83
Tere Mere,Sonu Nigam,Indie,81
Raat Tere,Sonu Nigam,Hip-Hop,85
Pyar Zindagi,Badshah,Hip-Hop,86
Raat Dil,Shreya Ghoshal,Fusion,82
Raat Raat,Atif Aslam,Pop,99
Zindagi Dil,Arijit Singh,Fusion,86
Zindagi Din,Neha Kakkar,Pop,90
Mohabbat Tere,Arijit Singh,Fusion,93
Pyar Mere,KK,Punjabi,94
Ishq Ishq,Atif Aslam,Folk,81
Mohabbat Tere,Sonu Nigam,Hip-Hop,87
Ishq Tere,Atif Aslam,Hip-Hop,100
Ishq Ishq,Jubin Nautiyal,Folk,92
Raat Raat,Arijit Singh,Hip-Hop,86
Mohabbat Mohabbat,Shreya Ghoshal,Punjabi,80
Jaan Pyar,Badshah,Retro,96
Ishq Tere,Sonu Nigam,Fusion,89
Tere Mohabbat,Shreya Ghoshal,Retro,93
Tere Ishq,Sonu Nigam,Indie,83
Mere Dil,KK,Indie,90
Pyar Ishq,KK,Pop,88
Zindagi Pyar,Sonu Nigam,Folk,91
Ishq Jaan,Shreya Ghoshal,Punjabi,93
Dil Jaan,Arijit Singh,Retro,91
Mohabbat Pyar,Jubin Nautiyal,Hip-Hop,87
Mohabbat Tere,KK,Indie,96
Tere Din,Neha Kakkar,Bollywood,92
Raat Jaan,Neha Kakkar,Retro,93
Mohabbat Ishq,Arijit Singh,Indie,93
Zindagi Zindagi,Jubin Nautiyal,Pop,89
Mohabbat Zindagi,Shreya Ghoshal,Punjabi,91
Raat Ishq,Arijit Singh,Retro,80
Ishq Mere,Shreya Ghoshal,Folk,86
Mohabbat Jaan,Badshah,Retro,100
Zindagi Jaan,Sonu Nigam,Indie,85
Dil Mere,Arijit Singh,Bollywood,85
Zindagi Din,KK,Bollywood,96
Tere Jaan,Arijit Singh,Bollywood,83
Pyar Dil,Atif Aslam,Retro,98
Mere Raat,Neha Kakkar,Hip-Hop,91
Din Mere,Neha Kakkar,Bollywood,85
Din Tere,KK,Hip-Hop,97
Din Tere,Jubin Nautiyal,Indie,84
Mohabbat Pyar,Shreya Ghoshal,Fusion,97
Tere Dil,Neha Kakkar,Hip-Hop,95
Mohabbat Din,Badshah,Fusion,84
Tere Raat,Atif Aslam,Folk,82
Dil Raat,KK,Punjabi,99
Mohabbat Jaan,Atif Aslam,Pop,99
Jaan Pyar,Badshah,Pop,87
Pyar Mere,Sonu Nigam,Fusion,88
Raat Jaan,Arijit Singh,Indie,90
Raat Mere,Shreya Ghoshal,Fusion,96
Tere Zindagi,Shreya Ghoshal,Retro,85
Jaan Dil,Neha Kakkar,Retro,88
Zindagi Ishq,Jubin Nautiyal,Fusion,95
Dil Dil,Sonu Nigam,Bollywood,89
Raat Pyar,Shreya Ghoshal,Folk,92
Mohabbat Ishq,KK,Punjabi,82
Tere Tere,Atif Aslam,Indie,97
Dil Mohabbat,Neha Kakkar,Bollywood,100
Tere Dil,Shreya Ghoshal,Retro,94
Ishq Pyar,Badshah,Indie,94
Jaan Mohabbat,KK,Indie,80
Raat Ishq,Badshah,Indie,96
Mere Ishq,Atif Aslam,Retro,99
Dil Din,Jubin Nautiyal,Indie,99
Mere Tere,Sonu Nigam,Retro,93
Jaan Dil,Neha Kakkar,Pop,96
Dil Tere,Arijit Singh,Punjabi,90
Mere Tere,KK,Hip-Hop,88
Pyar Jaan,Arijit Singh,Hip-Hop,99
Dil Mohabbat,Jubin Nautiyal,Bollywood,81
Ishq Ishq,Badshah,Folk,85
Zindagi Mere,Badshah,Indie,91
Din Jaan,Arijit Singh,Hip-Hop,96
Pyar Dil,Arijit Singh,Punjabi,100
Jaan Dil,Jubin Nautiyal,Indie,81
Din Jaan,Arijit Singh,Punjabi,91
Ishq Mohabbat,Neha Kakkar,Retro,97
Tere Raat,Sonu Nigam,Punjabi,93
Raat Ishq,KK,Hip-Hop,82
Mohabbat Din,Sonu Nigam,Folk,98
Ishq Tere,Atif Aslam,Bollywood,91
Din Ishq,Neha Kakkar,Indie,87
Dil Mere,Neha Kakkar,Folk,81
Jaan Dil,Jubin Nautiyal,Hip-Hop,90
Zindagi Jaan,KK,Retro,84
Raat Mere,Arijit Singh,Indie,96
Mohabbat Raat,Atif Aslam,Bollywood,86
Tere Din,KK,Retro,88
Raat Mohabbat,Shreya Ghoshal,Fusion,82
Pyar Dil,Shreya Ghoshal,Bollywood,81
Jaan Raat,Neha Kakkar,Fusion,88
Ishq Din,Shreya Ghoshal,Retro,99
Jaan Ishq,Atif Aslam,Punjabi,99
Din Mere,Atif Aslam,Pop,82
Ishq Dil,Jubin Nautiyal,Bollywood,91
Pyar Raat,KK,Pop,99
Raat Ishq,Neha Kakkar,Punjabi,95
Dil Tere,Shreya Ghoshal,Punjabi,83
Raat Mere,Jubin Nautiyal,Indie,80
Tere Mohabbat,KK,Indie,92
Din Din,Neha Kakkar,Folk,85
Jaan Tere,Badshah,Hip-Hop,100
Ishq Mere,Arijit Singh,Bollywood,96
Mohabbat Raat,Badshah,Punjabi,95
Pyar Ishq,Arijit Singh,Pop,97
Jaan Din,Jubin Nautiyal,Indie,89
Mohabbat Mere,Atif Aslam,Hip-Hop,82
Mohabbat Raat,KK,Punjabi,86
Dil Din,Sonu Nigam,Pop,85
Pyar Zindagi,Neha Kakkar,Fusion,92
Din Tere,Sonu Nigam,Punjabi,85
Jaan Ishq,Neha Kakkar,Punjabi,98
Mohabbat Mohabbat,Arijit Singh,Hip-Hop,94
Zindagi Pyar,Shreya Ghoshal,Punjabi,93
Pyar Din,Atif Aslam,Folk,97
Dil Ishq,Atif Aslam,Bollywood,89
Tere Zindagi,Sonu Nigam,Hip-Hop,83
Raat Dil,Badshah,Fusion,97
Dil Pyar,Sonu Nigam,Punjabi,100
Mere Mere,Atif Aslam,Punjabi,91
Tere Raat,Jubin Nautiyal,Punjabi,80
Dil Pyar,KK,Folk,96
Zindagi Jaan,Sonu Nigam,Folk,91
Mere Pyar,Arijit Singh,Folk,93
Mohabbat Zindagi,Jubin Nautiyal,Pop,86
Din Pyar,Atif Aslam,Bollywood,92
Ishq Dil,Jubin Nautiyal,Fusion,94
Jaan Jaan,Shreya Ghoshal,Hip-Hop,97
Mere Raat,Arijit Singh,Bollywood,94
Ishq Mere,Jubin Nautiyal,Fusion,88
Pyar Din,Jubin Nautiyal,Folk,91
Raat Ishq,Shreya Ghoshal,Retro,82
Zindagi Mere,Shreya Ghoshal,Folk,98
Ishq Pyar,KK,Punjabi,94
Jaan Pyar,KK,Folk,99
Tere Jaan,KK,Indie,82
Mohabbat Jaan,Sonu Nigam,Pop,98
Tere Mohabbat,Badshah,Hip-Hop,84
Dil Raat,KK,Folk,90
Mohabbat Zindagi,Shreya Ghoshal,Retro,81
Jaan Din,Arijit Singh,Fusion,81
Tere Din,Jubin Nautiyal,Pop,99
Ishq Mere,Jubin Nautiyal,Bollywood,92
Jaan Din,Badshah,Fusion,98
Mere Pyar,Atif Aslam,Punjabi,83
Pyar Mohabbat,Jubin Nautiyal,Bollywood,81
Jaan Zindagi,Sonu Nigam,Folk,80
Dil Mohabbat,Jubin Nautiyal,Punjabi,86
Dil Pyar,Sonu Nigam,Bollywood,95
Mohabbat Din,Sonu Nigam,Punjabi,84
Mere Mere,Jubin Nautiyal,Fusion,92
Dil Tere,Arijit Singh,Retro,92
Raat Zindagi,Arijit Singh,Indie,88
Dil Raat,Badshah,Indie,96
Pyar Zindagi,KK,Pop,91
Ishq Ishq,KK,Punjabi,95
Tere Raat,Atif Aslam,Pop,88
Ishq Tere,Shreya Ghoshal,Hip-Hop,87
Mere Raat,Jubin Nautiyal,Punjabi,84
Mere Mohabbat,Shreya Ghoshal,Punjabi,95
Jaan Ishq,Atif Aslam,Punjabi,81
Mere Tere,Jubin Nautiyal,Retro,90
Din Mohabbat,KK,Bollywood,89
Zindagi Dil,Jubin Nautiyal,Retro,100
Ishq Mohabbat,Arijit Singh,Hip-Hop,91
Tere Dil,Shreya Ghoshal,Hip-Hop,86
Pyar Tere,Shreya Ghoshal,Indie,82
Din Raat,Shreya Ghoshal,Retro,99
Jaan Dil,Sonu Nigam,Folk,97
Din Zindagi,Neha Kakkar,Indie,88
Raat Din,Badshah,Hip-Hop,87
Din Mere,Badshah,Bollywood,85
Mere Dil,Jubin Nautiyal,Hip-Hop,96
Mere Mohabbat,Atif Aslam,Hip-Hop,86
Ishq Raat,Sonu Nigam,Folk,85
Tere Dil,Neha Kakkar,Pop,95
Raat Ishq,KK,Punjabi,91
Mohabbat Zindagi,Badshah,Retro,93
Raat Mohabbat,Atif Aslam,Pop,80
Pyar Din,Shreya Ghoshal,Fusion,88
Zindagi Din,Shreya Ghoshal,Punjabi,81
Jaan Din,Sonu Nigam,Punjabi,83
Pyar Raat,Sonu Nigam,Retro,94
Mere Raat,Shreya Ghoshal,Pop,100
Pyar Mohabbat,Badshah,Indie,87
Raat Mere,Shreya Ghoshal,Bollywood,88
Mohabbat Dil,Arijit Singh,Indie,81
Raat Dil,Shreya Ghoshal,Folk,88
Tere Din,Shreya Ghoshal,Indie,90
Pyar Din,Neha Kakkar,Hip-Hop,81
Dil Zindagi,Atif Aslam,Bollywood,96
Din Pyar,Arijit Singh,Fusion,89
Pyar Din,Arijit Singh,Indie,92
Mere Din,Sonu Nigam,Fusion,84
Raat Ishq,Neha Kakkar,Indie,81
Mohabbat Tere,Atif Aslam,Retro,94
Mohabbat Tere,Neha Kakkar,Retro,80
Mohabbat Jaan,Arijit Singh,Bollywood,100
Tere Zindagi,Jubin Nautiyal,Punjabi,82
Jaan Din,Badshah,Indie,88
